cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
0	13.10000000	0.00000000	mua	0.71299064	12	1242.50000000	0.60421174	good	565	0
1	21.90000000	0.00000000	good	0.45926043	17	805.00000000	0.85872925	good	803	0
2	6.00000000	0.00000000	good	0.35742068	31	1137.50000000	0.38605387	good	361	0
3	11.80000000	13.60000000	mua	0.55943561	58	1155.00000000	0.95283657	good	891	0
4	3.80000000	0.00000000	mua	0.21159029	93	787.50000000	0.97850220	good	915	0
5	4.50000000	47.60000000	mua	0.29802650	114	1732.50000000	0.30477937	good	285	0
6	11.10000000	0.00000000	good	0.52113825	134	1750.00000000	0.06630288		62	0
8	8.60000000	0.00000000	good	0.41679224	134	1750.00000000	0.60100354	good	562	0
9	9.20000000	0.00000000	good	0.25257120	145	507.50000000	0.31654279	good	296	0
10	2.80000000	100.00000000	good	0.19657622	199	840.00000000	0.02887384		27	0
11	6.70000000	0.00000000	mua	0.37008372	208	1505.00000000	0.10480133		98	0
12	5.50000000	0.00000000	good	0.28967229	213	822.50000000	0.90471351	good	846	0
13	4.10000000	8.80000000	good	0.26811069	415	735.00000000	0.83199422	good	778	0
14	11.70000000	0.00000000	good	0.61951876	233	1242.50000000	0.99882082	good	934	0
15	7.70000000	0.00000000	good	0.25699273	237	1627.50000000	0.79563458	good	744	0
16	12.30000000	0.00000000	mua	0.32942575	254	1277.50000000	0.24703170	good	231	0
17	4.40000000	0.00000000	good	0.15579507	256	1802.50000000	1.71745851	good	1606	0
18	11.40000000	3.40000000	good	0.56781250	298	1872.50000000	3.22317555	good	3014	0
19	9.50000000	0.00000000	good	0.44245249	284	1907.50000000	2.13773322	good	1999	0
20	9.00000000	0.00000000	good	0.38787991	331	455.00000000	0.35076363	good	328	0
21	5.60000000	0.00000000	good	0.28761691	26	1312.50000000	0.57747671	good	540	0
22	6.20000000	12.00000000	mua	0.39654920	369	1855.00000000	1.49288423	good	1396	0
23	14.20000000	0.00000000	good	0.54984689	370	1540.00000000	0.22029667		206	0
24	11.30000000	61.80000000	mua	0.77986717	373	1837.50000000	12.95258868	noise	12112	0
25	4.70000000	0.00000000	good	0.20159240	755	787.50000000	0.88011728		823	0
26	4.60000000	0.00000000	good	0.29596421	394	1802.50000000	0.71863768	good	672	0
27	9.30000000	0.00000000	good	0.18424711	438	1645.00000000	0.79563458	good	744	0
28	5.10000000	0.00000000	good	0.36074409	271	1890.00000000	0.99668202	good	932	0
29	3.70000000	0.00000000	mua	0.23192796	428	1855.00000000	0.04598426		43	0
30	4.90000000	0.00000000	mua	0.31815553	474	1242.50000000	0.58068491	good	543	0
31	11.70000000	0.00000000	good	0.34188995	485	1592.50000000	1.22553390	good	1146	0
32	3.80000000	0.00000000	mua	0.27817619	802	1400.00000000	0.02780443		26	0
33	13.20000000	0.00000000	good	0.62330770	521	770.00000000	0.48123059	good	450	0
34	10.60000000	0.00000000	good	0.25293112	389	1242.50000000	0.56571329	good	529	0
35	5.40000000	0.00000000	good	0.20537573	559	822.50000000	1.36990308	good	1281	0
36	10.30000000	0.00000000	good	0.25768521	573	910.00000000	0.93358734	good	873	0
37	4.20000000	9.20000000	good	0.37797606	580	1662.50000000	4.51394293	noise	4221	0
38	5.30000000	0.00000000	good	0.17079490	595	717.50000000	0.82664721	good	773	0
39	5.10000000	0.00000000	mua	0.25047463	598	1505.00000000	0.39567849	good	370	0
40	5.70000000	39.20000000	mua	0.46066517	610	1295.00000000	2.22114652	noise	2077	0
41	35.40000000	0.00000000	good	0.50909668	621	1365.00000000	0.37963747		355	0
42	6.30000000	0.00000000	good	0.21090388	371	752.50000000	1.28114277	good	1198	0
43	9.90000000	0.00000000	good	0.41223770	939	735.00000000	0.51545143	good	482	0
44	6.90000000	0.00000000	mua	0.39488673	630	1312.50000000	0.27697494	good	259	0
45	4.00000000	0.00000000	good	0.19120044	631	735.00000000	1.29290619	good	1209	0
46	6.10000000	0.00000000	good	0.49460909	640	1925.00000000	0.68762504		643	0
47	6.60000000	0.00000000	good	0.25995925	643	840.00000000	0.86514566	good	809	0
48	7.00000000	6.80000000	good	0.27231494	668	1925.00000000	1.15923102	good	1084	0
49	7.90000000	0.00000000	good	0.29154754	752	1890.00000000	0.58496252	good	547	0
50	4.30000000	8.10000000	good	0.25781912	577	892.50000000	1.01913945	good	953	0
51	11.70000000	0.00000000	good	0.53577262	613	1470.00000000	0.34648602	good	324	0
52	7.60000000	0.00000000	mua	0.27953407	691	787.50000000	0.24382350	good	228	0
53	7.40000000	0.00000000	mua	0.34380084	696	1942.50000000	0.23847649	good	223	0
54	7.70000000	0.00000000	good	0.35510567	700	1890.00000000	0.46732837	good	437	0
55	14.30000000	0.00000000	good	0.35512444	705	1330.00000000	1.21804809	good	1139	0
56	5.10000000	0.00000000	good	0.21610215	806	1610.00000000	0.60848935	good	569	0
57	10.60000000	0.00000000	good	0.27803159	723	822.50000000	0.51545143	good	482	0
